Longitude,Latitude,Elevation,Race,Elevation_class,GBS,ID,Plant.Name,dataset
-95.437,18.590,30,TUXPEN,Low,FALSE,CIMMYTMA-000686,VERA126,F1
-99.800,20.700,2039,CONNOR,High,FALSE,CIMMYTMA-001535,QUER56,F1
-98.683,18.883,2261,PEPITI,High,FALSE,CIMMYTMA-001968,MORE37,F1
-97.382,20.430,109,TUXPEN,Low,FALSE,CIMMYTMA-002335,VERA77,F1
-96.708,19.855,372,TUXPEN,Low,FALSE,CIMMYTMA-002345,VERA118,F1
-96.870,20.320,5,TUXPEN,Low,TRUE,CIMMYTMA-003229,VERA142,F1
-102.800,19.060,324,VANDEN,Low,FALSE,CIMMYTMA-005339,MICH180,F1
-100.650,18.350,245,TUXPEN,Low,TRUE,CIMMYTMA-005460,GUER51,F1
-102.267,19.650,2287,CACAHU,High,FALSE,CIMMYTMA-005606,MICH355,F1
-101.583,19.499,2280,MUSHIT,High,FALSE,CIMMYTMA-005613,MICH371,F1
-97.867,17.191,2338,CONICO,High,TRUE,CIMMYTMA-006081,OAXA350,F1
-105.333,20.317,655,TUXPEN,Low,TRUE,CIMMYTMA-007015,JALI276,F1
-98.433,19.283,2261,CONICO,High,FALSE,CIMMYTMA-007584,PUEB384,F1
-97.240,19.710,2220,PALOME,High,FALSE,CIMMYTMA-008102,VERA311,F1
-97.217,17.450,2083,,High,FALSE,CIMMYTMA-011761,OAXA69,F1
-101.262,17.561,52,,Low,FALSE,CIMMYTMA-014180,GUER127,F1
-89.133,17.083,97,,Low,FALSE,CIMMYTMA-015533,BELI9,F1
-99.367,18.717,952,TUXPEN,Low,FALSE,CIMMYTMA-015592,MORE128,F1
-99.520,19.970,2418,,High,FALSE,CIMMYTMA-022868,MEXI193,F1
-102.667,20.817,2017,CELAYA,High,FALSE,CIMMYTMA-019226,JALI637,F1
-103.732,19.332,720,,Low,FALSE,CIMMYTMA-019315,COLI26,F1
-104.350,19.767,907,,Low,FALSE,CIMMYTMA-020696,JALI386,F1
-100.139,20.176,2674,,High,FALSE,CIMMYTMA-022223,QUER111,F1
-104.400,20.800,800,,Low,TRUE,CIMMYTMA-022335,NAYA312,F1
-97.917,19.317,2492,,High,FALSE,CIMMYTMA-024077,TLAX525,F1
-92.187,15.017,583,,Low,FALSE,CIMMYTMA-020727,CHIS117,andosol
-92.626,16.912,1561,,Mid,FALSE,CIMMYTMA-018421,CHIS286,andosol
-92.160,14.930,301,TUXPEN,Low,FALSE,CIMMYTMA-018840,CHIS318,andosol
-92.081,14.857,233,SALVAD,Low,FALSE,CIMMYTMA-002500,GUAT303,andosol
-92.117,14.900,237,OLOTON,Low,FALSE,CIMMYTMA-005161,GUAT60,andosol
-99.797,19.353,2636,CONICO,High,FALSE,CIMMYTMA-016007,MEXI103,andosol
-99.399,18.969,2445,PALOME,High,FALSE,CIMMYTMA-001374,MEXI210,andosol
-98.915,19.623,2259,CHALQU,High,FALSE,CIMMYTMA-016600,MEXI250,andosol
-100.033,19.033,1956,CONICO,Mid,FALSE,CIMMYTMA-019359,MEXI386,andosol
-100.121,19.413,2568,CHALQU,High,TRUE,CIMMYTMA-001395,MEXI66,andosol
-100.181,19.448,2939,CONICO,High,FALSE,CIMMYTMA-001380,MEXI84,andosol
-101.917,19.667,2430,CHALQU,High,FALSE,CIMMYTMA-001456,MICH195,andosol
-102.061,19.469,1902,VANDEN,Mid,FALSE,CIMMYTMA-013353,MICH230,andosol
-101.467,19.333,2233,CELAYA,High,TRUE,CIMMYTMA-005578,MICH316,andosol
-101.559,19.424,2483,CONICO,High,FALSE,CIMMYTMA-005582,MICH320,andosol
-101.967,19.683,2292,CONICO,High,FALSE,CIMMYTMA-005589,MICH329,andosol
-102.487,19.377,1319,TABLON,Mid,FALSE,CIMMYTMA-008072,MICH336,andosol
-102.267,19.567,2416,MUSHIT,High,FALSE,CIMMYTMA-005599,MICH348,andosol
-101.733,19.517,2188,MUSHIT,High,FALSE,CIMMYTMA-005616,MICH374,andosol
-101.633,19.283,2293,MUSHIT,High,FALSE,CIMMYTMA-005618,MICH376,andosol
-101.220,19.519,2229,CHALQU,High,TRUE,CIMMYTMA-009187,MICH411,andosol
-102.083,19.733,2129,MUSHIT,High,FALSE,CIMMYTMA-002098,MICH414,andosol
-100.593,19.652,2180,CONICO,High,TRUE,CIMMYTMA-001467,MICH52,andosol
-102.504,19.634,1298,TUXPEN,Mid,TRUE,CIMMYTMA-005331,MICH84,andosol
-97.333,19.283,2514,PALOME,High,FALSE,CIMMYTMA-016446,PUEB542,andosol
-97.201,19.509,3017,ARROAM,High,FALSE,CIMMYTMA-005626,VERA306,andosol
-97.167,19.617,2552,ARROAM,High,FALSE,CIMMYTMA-005638,VERA321,andosol
-97.150,19.350,2152,CHALQU,High,TRUE,CIMMYTMA-005640,VERA324,andosol
-97.251,19.540,2451,PALOME,High,TRUE,CIMMYTMA-001531,VERA35,andosol
-97.083,19.617,2634,CONICO,High,FALSE,CIMMYTMA-002336,VERA89,andosol
